playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
ashburi01,Richie Ashburn,1950,4,17,0,3,1,0,0,1,0,0,0.0,0.0
dimagjo01,Joe DiMaggio,1950,4,13,2,4,1,0,1,2,3,1,1.0,0.0
rizzuph01,Phil Rizzuto,1950,4,14,1,2,0,0,0,0,3,0,0.0,1.0
mizejo01,Johnny Mize,1950,4,15,0,2,0,0,0,0,0,0,0.0,0.0
berrayo01,Yogi Berra,1950,4,15,2,3,0,0,1,2,2,0,0.0,0.0
berrayo01,Yogi Berra,1951,6,23,4,6,1,0,0,0,2,0,0.0,0.0
irvinmo01,Monte Irvin,1951,6,24,3,11,0,1,0,2,2,0,0.0,0.0
dimagjo01,Joe DiMaggio,1951,6,23,3,6,2,0,1,5,2,2,0.0,0.0
rizzuph01,Phil Rizzuto,1951,6,25,5,8,0,0,1,3,2,0,1.0,0.0
mantlmi01,Mickey Mantle,1951,2,5,1,1,0,0,0,0,2,0,0.0,0.0
mayswi01,Willie Mays,1951,6,22,1,4,0,0,0,1,2,0,0.0,0.0
mizejo01,Johnny Mize,1951,4,7,2,2,1,0,0,1,2,1,0.0,0.0
robinja02,Jackie Robinson,1952,7,23,4,4,0,0,1,2,7,2,0.0,0.0
mantlmi01,Mickey Mantle,1952,7,29,5,10,1,1,2,3,3,0,0.0,0.0
mizejo01,Johnny Mize,1952,5,15,3,6,1,0,3,6,3,0,0.0,0.0
snidedu01,Duke Snider,1952,7,29,5,10,2,0,4,8,1,0,1.0,0.0
reesepe01,Pee Wee Reese,1952,7,29,4,10,0,0,1,4,2,0,0.0,1.0
camparo01,Roy Campanella,1952,7,28,0,6,0,0,0,1,1,0,0.0,0.0
rizzuph01,Phil Rizzuto,1952,7,27,2,4,1,0,0,0,5,0,0.0,1.0
berrayo01,Yogi Berra,1952,7,28,2,6,1,0,2,3,2,0,0.0,0.0
snidedu01,Duke Snider,1953,6,25,3,8,3,0,1,5,2,0,0.0,0.0
mantlmi01,Mickey Mantle,1953,6,24,3,5,0,0,2,7,3,1,0.0,0.0
rizzuph01,Phil Rizzuto,1953,6,19,4,6,1,0,0,0,3,0,0.0,1.0
reesepe01,Pee Wee Reese,1953,6,24,0,5,0,1,0,0,4,0,0.0,0.0
mizejo01,Johnny Mize,1953,3,3,0,0,0,0,0,0,0,0,0.0,0.0
camparo01,Roy Campanella,1953,6,22,6,6,0,0,1,2,2,1,1.0,0.0
robinja02,Jackie Robinson,1953,6,25,3,8,2,0,0,2,1,0,0.0,0.0
berrayo01,Yogi Berra,1953,6,21,3,9,1,0,1,4,3,0,2.0,0.0
irvinmo01,Monte Irvin,1954,4,9,1,2,1,0,0,2,0,0,0.0,1.0
mayswi01,Willie Mays,1954,4,14,4,4,1,0,0,3,4,0,0.0,0.0
dobyla01,Larry Doby,1954,4,16,0,2,0,0,0,0,2,1,0.0,0.0
lemonbo01,Bob Lemon,1954,3,6,0,0,0,0,0,0,1,0,0.0,0.0
reesepe01,Pee Wee Reese,1955,7,27,5,8,1,0,0,2,3,0,0.0,1.0
snidedu01,Duke Snider,1955,7,25,5,8,1,0,4,7,2,1,0.0,1.0
mantlmi01,Mickey Mantle,1955,3,10,1,2,0,0,1,1,0,0,0.0,0.0
berrayo01,Yogi Berra,1955,7,24,5,10,1,0,1,2,3,0,1.0,0.0
camparo01,Roy Campanella,1955,7,27,4,7,3,0,2,4,3,0,0.0,1.0
rizzuph01,Phil Rizzuto,1955,7,15,2,4,0,0,0,1,5,0,0.0,0.0
robinja02,Jackie Robinson,1955,6,22,5,4,1,1,0,1,2,0,0.0,0.0
camparo01,Roy Campanella,1956,7,22,2,4,1,0,0,3,3,1,0.0,0.0
snidedu01,Duke Snider,1956,7,23,5,7,1,0,1,4,6,3,0.0,0.0
reesepe01,Pee Wee Reese,1956,7,27,3,6,0,1,0,2,2,0,0.0,1.0
berrayo01,Yogi Berra,1956,7,25,5,9,2,0,3,10,4,2,0.0,0.0
mantlmi01,Mickey Mantle,1956,7,24,6,6,1,0,3,4,6,1,0.0,0.0
robinja02,Jackie Robinson,1956,7,24,5,6,1,0,1,2,5,0,0.0,0.0
slaugen01,Enos Slaughter,1956,6,20,6,7,0,0,1,4,4,2,0.0,0.0
matheed01,Eddie Mathews,1957,7,22,4,5,3,0,1,4,8,0,0.0,1.0
mantlmi01,Mickey Mantle,1957,6,19,3,5,0,0,1,2,3,0,0.0,0.0
schoere01,Red Schoendienst,1957,5,18,0,5,1,0,0,2,0,0,0.0,1.0
slaugen01,Enos Slaughter,1957,5,12,2,3,1,0,0,0,3,0,0.0,0.0
aaronha01,Hank Aaron,1957,7,28,5,11,0,1,3,7,1,0,0.0,0.0
berrayo01,Yogi Berra,1957,7,25,5,8,1,0,1,2,4,1,0.0,0.0
slaugen01,Enos Slaughter,1958,4,3,1,0,0,0,0,0,1,0,0.0,0.0
aaronha01,Hank Aaron,1958,7,27,3,9,2,0,0,2,4,0,0.0,0.0
mantlmi01,Mickey Mantle,1958,7,24,4,6,0,1,2,3,7,1,0.0,0.0
schoere01,Red Schoendienst,1958,7,30,5,9,3,1,0,0,2,0,0.0,1.0
matheed01,Eddie Mathews,1958,7,25,3,4,2,0,0,3,6,2,0.0,0.0
berrayo01,Yogi Berra,1958,7,27,3,6,3,0,0,2,1,0,0.0,0.0
aparilu01,Luis Aparicio,1959,6,26,1,8,1,0,0,0,2,0,0.0,1.0
snidedu01,Duke Snider,1959,4,10,1,2,0,0,1,2,2,0,0.0,0.0
foxne01,Nellie Fox,1959,6,24,4,9,3,0,0,0,4,0,0.0,0.0
clemero01,Roberto Clemente,1960,7,29,1,9,0,0,0,3,0,0,0.0,0.0
mantlmi01,Mickey Mantle,1960,7,25,8,10,1,0,3,11,8,2,0.0,0.0
mazerbi01,Bill Mazeroski,1960,7,25,4,8,2,0,2,5,0,0,0.0,1.0
